idstd;id;panel;a4a;a6a;a4b;a6c;a6b;a1;country;lcu;a7a;a20y;b1;b3;b2a;b2b;b2c;b2d;b4;b4a;bmb1;bmb2;bmb3;bmb4;b5;b6;b6b;b7;b7a;d1a1a;d1a1x;d1a3;d2;n3;bmd1a;bmd1b;d3a;d3b;d3c;bmr2;bmr3;bmr4;bmr5;bmr6;bmr7;bmr8;e1;e2b;h1;h2;h5;bmh1;bmh2;bmh3;h8;h9;bmt3;k4;n5a;n5b;bmk6;k4b;n5c;n5d;k21;j6a;l1;l2;l4a1;l4a2;l4b;l5a;l5b;l5;l6;l6a;l8;l9b;l9b1;bml1a;bml1b;l10;bml2;l11a;l11a1;l11b;n2a;n2e;n2b;n2f;n2i;n2p;n2e1;n7a;bmge1;bmge2;d1a2;stratificationsizecode;stratificationsectorcode;Cyprus;Estonia;Greece;Italy;Latvia;Lithuania;Malta;Portugal;Slovak_rep;Slovenia;firm_age;manager_experience;top_manager_female;firm_size;sales;exportsDV;manufacturing;retail;other_services;food;garments;metal_products;machinery;other_manufacturing;R_D;product_innovation;fixed_asset;ln_sales;female_owners;family_firms
651333;2;Panel;Manufacturing;Medium;Food;14;Small;Cyprus;Cyprus;Euro (EUR);;2017;Sole proprietorship;100;100;0;0;0;No;;100;100;No;No;1993;4;1993;26;No;Manufacturing of ;Manufacture And Wholesale Of Cold Cuts;100;1307985;800000;Increase;Don't know (spontaneous);100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;5;No;;Yes;No;No;No;;;;No;;;No;No;;;Yes;No;14;12;1;1;10;5;1;;No full-time seasonal or temporary workers;;;80;;;1;No;;;;;120000;600000;20000;11000;;1207001;500000;312791;263676;Don't know (spontaneous);1511;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;28;26;0;14;1307985;0;1;0;0;0;0;0;0;0;0;0;2;14;0;1
651334;3;Panel;Manufacturing;Small;Food;16;Small;Cyprus;Cyprus;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;95;100;0;0;0;Yes;5;100;95;No;No;1988;Don't know (spontaneous);1988;30;No;Manufacturing of ;Manufacture Of Prepared Frozen Food;100;820000;630000;Increase;10;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;40;Yes;Yes;No;No;No;No;;;;No;;;No;No;;;Yes;No;16;14;2;2;4;5;1;;No full-time seasonal or temporary workers;;;;0;;No one has a university degree;Yes;Job-specific technical skills;100;;100;220000;330000;45000;8000;;Don't know (spontaneous);290000;1000000;Don't know (spontaneous);Don't know (spontaneous);1549;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;33;30;0;16;820000;0;1;0;0;0;0;0;0;0;0;1;2;14;1;1
651335;5;Panel;Manufacturing;Small;Food;10;Small;Cyprus;Cyprus;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;90;100;0;0;0;Yes;90;100;100;No;Yes;2001;7;2001;25;No;Manufacturing of ;Manufacturing Of Biscuits;100;841000;772000;Increase;10;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;Too many to count;Yes;No;No;No;No;No;;;;Yes;45000;0;No;No;;;Yes;No;10;9;0;0;8;6;1;;No full-time seasonal or temporary workers;;;;3;;1;No;;;;;127000;329000;20610;16000;;492610;317000;Don't know (spontaneous);130000;Don't know (spontaneous);1541;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;20;25;0;10;841000;0;1;0;0;0;0;0;0;0;0;1;1;14;1;1
651336;7;Panel;Manufacturing;Medium;Food;22;Medium;Cyprus;Cyprus;Euro (EUR);;2017;Sole proprietorship;100;100;0;0;0;No;;100;100;No;No;1957;10;1976;27;No;Manufacturing of ;Processing Of Fruits And Vegetables;90;1484000;1300000;Increase;5;92;1;7;Yes;1-2 indicators;Yes;Combination of short-term and long-term targets;Achieved with some effort;Most managers and some production workers;Yes;National Ð main product sold mostly across the country where establishment is located;5;No;;Yes;Yes;Yes;No;Yes;5000;;No;;;No;No;;;Yes;No;22;18;4;1;16;17;0;;No full-time seasonal or temporary workers;;;;5;;2;No;;;;;230000;900000;10000;35000;;1175000;1115000;450000;50000;30000;1513;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;64;27;0;22;1484000;1;1;0;0;0;0;0;0;0;1;0;2;14;0;1
651337;9;Panel;Manufacturing;Small;Food;5;Small;Cyprus;Cyprus;Euro (EUR);;2017;Shareholding company with non-traded shares or shares traded privately;95;100;0;0;0;Yes;3;100;100;No;No;1997;4;1997;35;No;Manufacturing of ;Production Of Olive Oil, Cold Pressed Oils And Flours From Nuts/Seeds.;100;403607;300000;Stay the same;;90;0;10;;;;;;;;National Ð main product sold mostly across the country where establishment is located;Don't know (spontaneous);No;;Yes;Yes;Yes;No;No;;;Yes;29350;45000;Yes;No;;;Yes;No;5;5;2;1;0;0;2;;1;0;5;;1;;1;Yes;Job-specific technical skills;;2;;45300;200000;12000;3181;;262870;113000;260;Don't know (spontaneous);Don't know (spontaneous);1514;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;24;35;0;5;403607;1;1;0;0;0;0;0;0;0;1;0;1;13;1;1
651338;10;Panel;Manufacturing;Small;Food;5;Small;Cyprus;Cyprus;Euro (EUR);;2018;Shareholding company with non-traded shares or shares traded privately;20;100;0;0;0;Yes;25;100;100;Yes;Yes;1990;4;1990;28;No;Manufacturing of ;Oil Production;100;133000;100000;Increase;10;100;0;0;;;;;;;;National Ð main product sold mostly across the country where establishment is located;5;No;;No;No;No;No;;;;Yes;12000;0;No;No;;;No;No;5;5;1;1;1;0;0;;2;0;5;100;;No one has a university degree;;No;;;;;43000;2000;30000;1000;;Don't know (spontaneous);2000;1000000;Don't know (spontaneous);0;1514;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;31;28;0;5;133000;0;1;0;0;0;0;0;0;0;0;0;1;12;1;1
651339;12;Panel;Manufacturing;Small;Wholesale;7;Small;Cyprus;Cyprus;Euro (EUR);;2017;Partnership;50;100;0;0;0;Yes;50;100;100;No;No;1990;6;1990;40;No;Wholesale trade of;Sale Of Dairy Products;50;575000;500000;Increase;10;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;15;Yes;No;Yes;No;No;No;;;;No;;;No;;;;Yes;No;7;7;;;;;;4;No full-time seasonal or temporary workers;;;;1;;No one has a university degree;No;;;;;150000;;10000;15000;;;;;Don't know (spontaneous);Don't know (spontaneous);5122;Small (5-19);1;1;0;0;0;0;0;0;0;0;0;31;40;0;7;575000;0;1;0;0;0;0;0;0;0;0;1;2;13;1;1
651340;16;Panel;Manufacturing;Large;Food;45;Medium;Cyprus;Cyprus;Euro (EUR);;2017;Sole proprietorship;100;100;0;0;0;Yes;100;100;100;No;No;1979;4;1979;39;No;Manufacturing of ;Manufacturing Of Animal Feeds;95;1.34e+07;1.25e+07;Stay the same;;90;0;10;Yes;10 or more indicators;Yes;Combination of short-term and long-term targets;Achieved with normal amount of effort;Most managers and some production workers;No;National Ð main product sold mostly across the country where establishment is located;3;No;;Yes;Yes;No;No;;;;Yes;677000;55622;No;Yes;142500;0;Yes;No;45;50;3;2;8;0;1;;1;0;3;;9;;4;Yes;Job-specific technical skills;;10;;1005000;1.16e+07;161000;400000;;Don't know (spontaneous);8600000;7000000;130000;210000;1533;Large (100 or more);1;1;0;0;0;0;0;0;0;0;0;42;39;0;45;13425000;1;1;0;0;0;0;0;0;0;0;0;1;16;1;1
651341;20;Panel;Manufacturing;Medium;Food;130;Large;Cyprus;Cyprus;Euro (EUR);9;2018;Limited partnership;90;100;0;0;0;Yes;10;100;100;No;No;1989;15;1989;30;No;Manufacturing of ;Manufacture Of Bread;50;7708000;8344000;Stay the same;;100;0;0;Yes;1-2 indicators;Yes;Combination of short-term and long-term targets;Targets were not achieved;Only senior managers;No;Local Ð main product sold mostly in same municipality where establishment is located;30;Yes;Yes;No;No;No;No;;;Once a week;Yes;34000;0;No;Yes;25000;0;Yes;No;130;150;3;7;45;20;70;;No full-time seasonal or temporary workers;;;100;;;3;Yes;Problem solving or critical thinking skills;75;;60;2210000;4000000;357000;152000;;6720000;4217000;2500000;Don't know (spontaneous);Don't know (spontaneous);1541;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;32;30;0;130;7708000;0;1;0;0;0;0;0;0;0;0;1;1;16;1;1
651342;21;Panel;Manufacturing;Medium;Food;6;Small;Cyprus;Cyprus;Euro (EUR);2;2017;Sole proprietorship;100;100;0;0;0;No;;100;100;No;No;1992;3;1992;26;No;Manufacturing of ;Bakery, Manufacture Of Bakery Products;100;357248;348207;Increase;10;100;0;0;;;;;;;;Local Ð main product sold mostly in same municipality where establishment is located;40;No;;No;No;No;No;;;;Yes;5316;0;No;Yes;922;0;Yes;No;6;7;0;2;0;0;3;;No full-time seasonal or temporary workers;;;100;;No one has a university degree;;No;;;;;78120;214471;10503;1199;;306608;29916;30000;1619;5500;1541;Medium (20-99);1;1;0;0;0;0;0;0;0;0;0;29;26;0;6;357248;0;1;0;0;0;0;0;0;0;0;0;1;13;0;1
